roberta_neg_Exp,roberta_neu_Exp,roberta_pos_Exp,roberta_neg_OSF,roberta_neu_OSF,roberta_pos_OSF,Satis_Bloque,Satis_ODS,Satis_Aporte,Satis_Interaccion,Satis_Herramientas,Satis_Exp,Satis_Liderazgo_OSF,Satis_IT,Retro_OSF,Causa_Interesante,Opp_Egoismo,Nvl_Responsabilidad,Respeto_Diversidad,Promover_Soluciones,OSF_encoded
0.022526823,0.23575601,0.74171716,0.0017849891,0.023332005,0.974883,4,5,4,5,4,3,5,5,1,1,4,5,5,5,143
0.862028,0.114917606,0.023054361,0.029052217,0.29546988,0.6754779,4,4,4,4,2,2,4,5,1,1,4,4,4,4,69
0.9399617,0.055888224,0.004150108,0.0015737049,0.0102419285,0.98818433,4,5,5,5,5,3,5,4,1,1,5,5,5,5,47
0.0013276474,0.026406402,0.972266,0.0019454987,0.012921175,0.9851333,5,5,5,3,3,3,5,5,1,1,5,5,5,5,178
0.6911938,0.29065445,0.018151747,0.0031674858,0.055331517,0.94150096,4,3,3,3,4,3,5,2,1,1,4,4,4,4,45
0.0038441387,0.14248954,0.85366637,0.0016570055,0.03599481,0.96234816,5,4,4,4,3,2,4,4,1,1,4,5,4,5,118
0.20817839,0.5498161,0.24200551,0.01707064,0.48218676,0.5007426,4,4,4,3,4,1,3,4,0,1,3,3,3,3,242
0.0015819408,0.014926118,0.98349196,0.002236382,0.017482353,0.9802813,4,5,5,5,2,2,5,2,1,1,5,5,5,5,45
0.20817839,0.5498161,0.24200551,0.19230573,0.6756348,0.13205948,5,5,4,5,4,3,5,5,1,1,5,5,5,4,69
0.0023108697,0.012516006,0.9851731,0.0020923433,0.00664583,0.99126184,5,5,5,5,5,3,5,5,1,1,5,5,5,5,253
0.20817839,0.5498161,0.24200551,0.24224791,0.5026061,0.25514603,5,5,5,5,5,3,5,5,1,0,3,3,3,3,108
0.20817839,0.5498161,0.24200551,0.0015584889,0.008702183,0.98973936,5,5,5,5,5,3,5,5,1,1,5,5,5,5,103
0.0014790541,0.00908467,0.98943627,0.0018454837,0.021507118,0.9766474,5,5,5,5,5,3,5,5,1,1,5,5,5,5,78
0.08086845,0.79287875,0.12625284,0.0063591707,0.3042984,0.68934244,5,5,5,5,5,3,5,5,1,1,5,5,5,5,66
0.02926284,0.27493066,0.69580644,0.0018201964,0.024061866,0.97411793,4,4,4,4,4,3,5,3,1,1,4,4,4,5,233
0.20817839,0.5498161,0.24200551,0.0016983951,0.023474704,0.97482693,4,4,4,3,3,3,5,4,1,1,4,4,4,4,103
0.050226863,0.6284514,0.32132173,0.001391572,0.009354989,0.98925346,5,5,5,5,5,3,5,4,1,1,5,5,5,5,118
0.0017495034,0.014198318,0.9840522,0.001583203,0.012786094,0.9856307,5,5,5,5,5,3,5,5,1,1,4,5,5,3,233
0.0019106735,0.018239083,0.9798503,0.0042522904,0.047681037,0.9480667,5,5,5,5,5,3,5,5,1,1,5,5,5,5,233
0.0012610479,0.010376525,0.9883624,0.0021592295,0.045986306,0.95185447,5,4,5,5,4,3,5,5,1,1,5,5,5,5,118
0.0017237325,0.010878316,0.9873979,0.0031645396,0.04515969,0.9516758,5,5,5,4,4,2,5,5,1,1,5,5,5,5,45
0.0072098384,0.065799266,0.9269909,0.0041832696,0.041969057,0.9538477,5,4,5,3,4,2,5,5,1,1,4,5,5,3,242
0.20817839,0.5498161,0.24200551,0.25723195,0.42253774,0.32023025,5,5,4,2,3,0,5,3,1,1,4,5,5,5,179
0.033558063,0.40576357,0.56067836,0.056581564,0.19798289,0.74543554,3,5,4,4,3,1,3,2,1,1,5,5,5,4,179
0.0011571549,0.016197613,0.98264515,0.0027384642,0.053106952,0.9441546,5,5,5,5,5,3,5,5,1,1,5,5,5,5,242
0.0035448761,0.07276554,0.9236896,0.0033862204,0.03907533,0.95753837,4,4,4,4,4,2,4,4,1,1,5,5,5,5,242
0.0043757833,0.06469214,0.93093204,0.0012571274,0.015569836,0.983173,5,5,5,5,4,3,5,5,1,1,5,5,5,5,242
0.0011681131,0.025656218,0.9731757,0.0013908296,0.023202471,0.9754067,5,5,5,4,5,3,5,5,1,1,5,5,5,5,242
0.020507433,0.48466703,0.49482554,0.0025191589,0.0251667,0.9723141,5,5,4,5,5,3,5,5,1,1,4,5,5,5,242
0.0016177471,0.010567529,0.9878148,0.0017941678,0.019600132,0.9786057,5,5,5,5,5,3,5,5,1,1,5,5,5,5,242
0.20817839,0.5498161,0.24200551,0.002222565,0.025733652,0.9720438,5,5,5,5,5,3,5,5,0,1,5,5,5,5,116
0.0019820079,0.033789657,0.96422833,0.04265535,0.23972489,0.7176197,5,5,5,5,5,3,5,5,1,1,5,5,5,5,61
0.0035369645,0.12541378,0.8710492,0.00783834,0.035022106,0.9571395,4,4,4,4,3,2,4,4,1,1,3,4,4,4,78
0.6196892,0.32836515,0.051945698,0.10004824,0.67559665,0.2243551,3,4,4,2,4,1,3,4,1,1,3,4,4,3,242
0.15745854,0.32145837,0.5210831,0.0165549,0.47561827,0.5078268,2,2,2,2,2,0,2,2,0,1,3,3,3,3,184
0.0011125009,0.010561584,0.9883259,0.0013469942,0.012800045,0.98585296,4,4,5,5,5,3,5,4,1,1,5,5,5,5,66
0.17171524,0.5978745,0.23041019,0.0016127331,0.009091888,0.9892953,5,5,4,5,3,3,5,4,1,1,4,5,4,4,61
0.0024979897,0.021704668,0.97579736,0.020907074,0.7415094,0.23758362,5,5,5,5,5,3,5,5,1,1,5,5,5,5,61
0.001506854,0.018708967,0.97978413,0.01472117,0.13509202,0.8501868,4,5,4,5,3,3,5,5,1,1,4,3,4,5,86
0.0030500372,0.028889783,0.96806014,0.0017433363,0.010626905,0.9876297,5,5,5,5,4,3,5,5,1,1,5,5,5,5,61
0.005541084,0.028440164,0.96601874,0.0019858612,0.01066782,0.98734635,5,5,5,5,4,3,5,5,1,1,5,5,5,5,69
0.20817839,0.5498161,0.24200551,0.0011681401,0.012375187,0.98645675,5,5,5,5,4,3,5,4,1,1,5,5,5,5,45
0.01096397,0.13342413,0.85561186,0.0027858887,0.058693964,0.9385202,5,5,5,4,4,2,4,4,1,1,3,4,5,5,108
0.0019063399,0.018890275,0.97920334,0.0018642044,0.021253563,0.9768822,5,5,5,5,5,3,5,5,1,1,5,5,5,5,45
0.20817839,0.5498161,0.24200551,0.008636512,0.11545756,0.87590593,4,4,4,4,4,2,4,4,1,1,4,4,4,4,66
0.0029281087,0.047240596,0.9498313,0.0013939599,0.007650069,0.990956,5,5,5,5,4,3,5,5,1,1,5,5,4,5,118
0.0013180273,0.010832887,0.9878491,0.0022073844,0.035905387,0.96188724,4,4,4,4,3,2,4,4,1,1,4,4,4,4,23
0.0015866724,0.012464962,0.9859483,0.0016354754,0.009449784,0.9889148,5,5,5,4,3,3,5,5,1,1,5,5,5,5,23
0.0019129335,0.038052805,0.9600342,0.077117614,0.5304332,0.39244917,5,5,5,3,5,3,5,5,1,1,5,5,5,5,179
0.34444448,0.38250774,0.2730478,0.002047001,0.048371498,0.9495815,5,5,5,5,3,2,5,4,1,1,5,5,5,5,23
0.0022181966,0.026186928,0.97159487,0.001869176,0.009624686,0.9885061,5,5,5,5,5,3,5,5,1,1,5,5,4,5,118
0.001391856,0.018317472,0.98029065,0.0010105489,0.012006604,0.9869828,5,5,5,5,4,3,5,5,1,1,5,5,5,5,116
0.0024346656,0.05602223,0.94154316,0.0015564765,0.019021284,0.9794222,5,5,5,5,5,3,5,5,1,1,5,5,5,5,86
0.0019741855,0.04054828,0.9574775,0.0041003954,0.04227762,0.953622,4,4,4,4,4,2,4,4,1,1,4,4,4,4,116
0.20817839,0.5498161,0.24200551,0.006692482,0.1184669,0.8748406,4,4,4,4,3,2,4,4,1,1,5,5,5,5,254
0.001410718,0.023892686,0.9746966,0.003291596,0.079013646,0.91769475,4,5,5,5,4,3,5,5,0,1,5,5,5,5,242
0.009801602,0.07829824,0.91190016,0.0034163466,0.16762254,0.8289611,5,5,5,5,4,3,5,5,1,1,4,5,5,5,178
0.78201,0.19934322,0.018646844,0.0013755097,0.016434312,0.98219013,4,5,5,3,4,2,3,3,1,1,5,5,5,5,254
0.20817839,0.5498161,0.24200551,0.0016560339,0.008295179,0.99004877,4,4,5,3,4,2,4,4,1,1,5,5,5,5,254
0.20817839,0.5498161,0.24200551,0.0019963216,0.014887651,0.9831161,4,4,4,4,4,2,5,4,1,1,4,4,5,4,23
0.0016208349,0.017339911,0.9810393,0.0015069388,0.006503113,0.9919899,5,5,5,5,5,3,5,5,1,1,5,5,5,5,118
0.01751657,0.307844,0.6746394,0.0012833087,0.02111453,0.9776022,5,5,5,5,4,3,5,4,1,1,5,5,5,4,78
0.0018377901,0.014274038,0.9838882,0.0012353226,0.0089225015,0.98984224,5,5,5,5,4,3,5,5,1,1,5,5,5,5,150
0.20817839,0.5498161,0.24200551,0.014931559,0.078958794,0.90610963,5,5,5,5,3,3,5,5,1,1,5,5,5,5,150
0.0019433118,0.010931792,0.98712486,0.0015780041,0.006153084,0.992269,5,5,5,5,5,3,5,5,1,1,5,5,5,5,150
0.0026847848,0.06730206,0.9300132,0.0015100332,0.012722541,0.9857675,4,4,5,5,4,3,5,3,1,1,4,4,5,4,150
